driver_id,constructor_id,race_id,race_name,season,race_startposition,race_endposition,race_overtakes_made,fastest_lap
hamilton,mercedes,1,Bahrain Grand Prix,2021,2.0,1.0,6.0,0
max_verstappen,red_bull,1,Bahrain Grand Prix,2021,1.0,2.0,2.0,0
bottas,mercedes,1,Bahrain Grand Prix,2021,3.0,3.0,7.0,1
norris,mclaren,1,Bahrain Grand Prix,2021,7.0,4.0,9.0,0
perez,red_bull,1,Bahrain Grand Prix,2021,20.0,5.0,19.0,0
leclerc,ferrari,1,Bahrain Grand Prix,2021,4.0,6.0,7.0,0
ricciardo,mclaren,1,Bahrain Grand Prix,2021,6.0,7.0,10.0,0
sainz,ferrari,1,Bahrain Grand Prix,2021,8.0,8.0,12.0,0
tsunoda,alphatauri,1,Bahrain Grand Prix,2021,13.0,9.0,15.0,0
stroll,aston_martin,1,Bahrain Grand Prix,2021,10.0,10.0,13.0,0
ocon,alpine,1,Bahrain Grand Prix,2021,16.0,13.0,12.0,0
russell,williams,1,Bahrain Grand Prix,2021,15.0,14.0,13.0,0
gasly,alphatauri,1,Bahrain Grand Prix,2021,5.0,17.0,5.0,0
alonso,alpine,1,Bahrain Grand Prix,2021,9.0,19.0,8.0,0
max_verstappen,red_bull,2,Emilia Romagna Grand Prix,2021,3.0,1.0,1.0,0
hamilton,mercedes,2,Emilia Romagna Grand Prix,2021,1.0,2.0,9.0,1
norris,mclaren,2,Emilia Romagna Grand Prix,2021,7.0,3.0,8.0,0
leclerc,ferrari,2,Emilia Romagna Grand Prix,2021,4.0,4.0,3.0,0
sainz,ferrari,2,Emilia Romagna Grand Prix,2021,11.0,5.0,7.0,0
ricciardo,mclaren,2,Emilia Romagna Grand Prix,2021,6.0,6.0,4.0,0
gasly,alphatauri,2,Emilia Romagna Grand Prix,2021,5.0,7.0,8.0,0
stroll,aston_martin,2,Emilia Romagna Grand Prix,2021,10.0,8.0,5.0,0
ocon,alpine,2,Emilia Romagna Grand Prix,2021,9.0,9.0,13.0,0
alonso,alpine,2,Emilia Romagna Grand Prix,2021,15.0,10.0,10.0,0
perez,red_bull,2,Emilia Romagna Grand Prix,2021,2.0,11.0,4.0,0
tsunoda,alphatauri,2,Emilia Romagna Grand Prix,2021,20.0,12.0,8.0,0
bottas,mercedes,2,Emilia Romagna Grand Prix,2021,8.0,18.0,4.0,0
russell,williams,2,Emilia Romagna Grand Prix,2021,12.0,19.0,3.0,0
hamilton,mercedes,3,Portuguese Grand Prix,2021,2.0,1.0,3.0,0
max_verstappen,red_bull,3,Portuguese Grand Prix,2021,3.0,2.0,3.0,0
bottas,mercedes,3,Portuguese Grand Prix,2021,1.0,3.0,1.0,1
perez,red_bull,3,Portuguese Grand Prix,2021,4.0,4.0,4.0,0
norris,mclaren,3,Portuguese Grand Prix,2021,7.0,5.0,6.0,0
leclerc,ferrari,3,Portuguese Grand Prix,2021,8.0,6.0,7.0,0
ocon,alpine,3,Portuguese Grand Prix,2021,6.0,7.0,7.0,0
alonso,alpine,3,Portuguese Grand Prix,2021,13.0,8.0,9.0,0
ricciardo,mclaren,3,Portuguese Grand Prix,2021,16.0,9.0,9.0,0
gasly,alphatauri,3,Portuguese Grand Prix,2021,9.0,10.0,7.0,0
sainz,ferrari,3,Portuguese Grand Prix,2021,5.0,11.0,6.0,0
stroll,aston_martin,3,Portuguese Grand Prix,2021,17.0,14.0,8.0,0
tsunoda,alphatauri,3,Portuguese Grand Prix,2021,14.0,15.0,6.0,0
russell,williams,3,Portuguese Grand Prix,2021,11.0,16.0,6.0,0
hamilton,mercedes,4,Spanish Grand Prix,2021,1.0,1.0,3.0,0
max_verstappen,red_bull,4,Spanish Grand Prix,2021,2.0,2.0,2.0,1
bottas,mercedes,4,Spanish Grand Prix,2021,3.0,3.0,5.0,0
leclerc,ferrari,4,Spanish Grand Prix,2021,4.0,4.0,2.0,0
perez,red_bull,4,Spanish Grand Prix,2021,8.0,5.0,4.0,0
ricciardo,mclaren,4,Spanish Grand Prix,2021,7.0,6.0,6.0,0
sainz,ferrari,4,Spanish Grand Prix,2021,6.0,7.0,7.0,0
norris,mclaren,4,Spanish Grand Prix,2021,9.0,8.0,8.0,0
ocon,alpine,4,Spanish Grand Prix,2021,5.0,9.0,4.0,0
gasly,alphatauri,4,Spanish Grand Prix,2021,12.0,10.0,13.0,0
stroll,aston_martin,4,Spanish Grand Prix,2021,11.0,11.0,8.0,0
russell,williams,4,Spanish Grand Prix,2021,15.0,14.0,17.0,0
alonso,alpine,4,Spanish Grand Prix,2021,10.0,17.0,7.0,0
tsunoda,alphatauri,4,Spanish Grand Prix,2021,16.0,20.0,2.0,0
max_verstappen,red_bull,5,Monaco Grand Prix,2021,2.0,1.0,1.0,0
sainz,ferrari,5,Monaco Grand Prix,2021,4.0,2.0,3.0,0
norris,mclaren,5,Monaco Grand Prix,2021,5.0,3.0,3.0,0
perez,red_bull,5,Monaco Grand Prix,2021,9.0,4.0,5.0,0
gasly,alphatauri,5,Monaco Grand Prix,2021,6.0,6.0,2.0,0
hamilton,mercedes,5,Monaco Grand Prix,2021,7.0,7.0,2.0,1
stroll,aston_martin,5,Monaco Grand Prix,2021,13.0,8.0,4.0,0
ocon,alpine,5,Monaco Grand Prix,2021,11.0,9.0,4.0,0
ricciardo,mclaren,5,Monaco Grand Prix,2021,12.0,12.0,4.0,0
alonso,alpine,5,Monaco Grand Prix,2021,17.0,13.0,4.0,0
russell,williams,5,Monaco Grand Prix,2021,15.0,14.0,3.0,0
tsunoda,alphatauri,5,Monaco Grand Prix,2021,16.0,16.0,3.0,0
bottas,mercedes,5,Monaco Grand Prix,2021,3.0,19.0,2.0,0
leclerc,ferrari,5,Monaco Grand Prix,2021,1.0,20.0,0.0,0
perez,red_bull,6,Azerbaijan Grand Prix,2021,6.0,1.0,5.0,0
gasly,alphatauri,6,Azerbaijan Grand Prix,2021,4.0,3.0,5.0,0
leclerc,ferrari,6,Azerbaijan Grand Prix,2021,1.0,4.0,6.0,0
norris,mclaren,6,Azerbaijan Grand Prix,2021,9.0,5.0,9.0,0
alonso,alpine,6,Azerbaijan Grand Prix,2021,8.0,6.0,7.0,0
tsunoda,alphatauri,6,Azerbaijan Grand Prix,2021,7.0,7.0,6.0,0
sainz,ferrari,6,Azerbaijan Grand Prix,2021,5.0,8.0,7.0,0
ricciardo,mclaren,6,Azerbaijan Grand Prix,2021,13.0,9.0,7.0,0
bottas,mercedes,6,Azerbaijan Grand Prix,2021,10.0,12.0,9.0,0
hamilton,mercedes,6,Azerbaijan Grand Prix,2021,2.0,15.0,3.0,0
russell,williams,6,Azerbaijan Grand Prix,2021,15.0,17.0,6.0,0
max_verstappen,red_bull,6,Azerbaijan Grand Prix,2021,3.0,18.0,4.0,1
stroll,aston_martin,6,Azerbaijan Grand Prix,2021,19.0,19.0,8.0,0
ocon,alpine,6,Azerbaijan Grand Prix,2021,12.0,20.0,0.0,0
max_verstappen,red_bull,7,French Grand Prix,2021,1.0,1.0,5.0,1
hamilton,mercedes,7,French Grand Prix,2021,2.0,2.0,2.0,0
perez,red_bull,7,French Grand Prix,2021,4.0,3.0,5.0,0
bottas,mercedes,7,French Grand Prix,2021,3.0,4.0,2.0,0
norris,mclaren,7,French Grand Prix,2021,8.0,5.0,11.0,0
ricciardo,mclaren,7,French Grand Prix,2021,10.0,6.0,10.0,0
gasly,alphatauri,7,French Grand Prix,2021,6.0,7.0,9.0,0
alonso,alpine,7,French Grand Prix,2021,9.0,8.0,8.0,0
stroll,aston_martin,7,French Grand Prix,2021,19.0,10.0,12.0,0
sainz,ferrari,7,French Grand Prix,2021,5.0,11.0,6.0,0
russell,williams,7,French Grand Prix,2021,14.0,12.0,11.0,0
tsunoda,alphatauri,7,French Grand Prix,2021,20.0,13.0,10.0,0
ocon,alpine,7,French Grand Prix,2021,11.0,14.0,8.0,0
leclerc,ferrari,7,French Grand Prix,2021,7.0,16.0,8.0,0
max_verstappen,red_bull,8,Styrian Grand Prix,2021,1.0,1.0,0.0,0
hamilton,mercedes,8,Styrian Grand Prix,2021,2.0,2.0,0.0,1
bottas,mercedes,8,Styrian Grand Prix,2021,5.0,3.0,3.0,0
perez,red_bull,8,Styrian Grand Prix,2021,4.0,4.0,2.0,0
norris,mclaren,8,Styrian Grand Prix,2021,3.0,5.0,3.0,0
sainz,ferrari,8,Styrian Grand Prix,2021,12.0,6.0,8.0,0
leclerc,ferrari,8,Styrian Grand Prix,2021,7.0,7.0,17.0,0
stroll,aston_martin,8,Styrian Grand Prix,2021,9.0,8.0,6.0,0
alonso,alpine,8,Styrian Grand Prix,2021,8.0,9.0,4.0,0
tsunoda,alphatauri,8,Styrian Grand Prix,2021,11.0,10.0,7.0,0
ricciardo,mclaren,8,Styrian Grand Prix,2021,13.0,13.0,8.0,0
ocon,alpine,8,Styrian Grand Prix,2021,17.0,14.0,8.0,0
russell,williams,8,Styrian Grand Prix,2021,10.0,19.0,1.0,0
gasly,alphatauri,8,Styrian Grand Prix,2021,6.0,20.0,0.0,0
max_verstappen,red_bull,9,Austrian Grand Prix,2021,1.0,1.0,0.0,1
bottas,mercedes,9,Austrian Grand Prix,2021,5.0,2.0,4.0,0
norris,mclaren,9,Austrian Grand Prix,2021,2.0,3.0,2.0,0
hamilton,mercedes,9,Austrian Grand Prix,2021,4.0,4.0,3.0,0
sainz,ferrari,9,Austrian Grand Prix,2021,10.0,5.0,11.0,0
perez,red_bull,9,Austrian Grand Prix,2021,3.0,6.0,10.0,0
ricciardo,mclaren,9,Austrian Grand Prix,2021,13.0,7.0,12.0,0
leclerc,ferrari,9,Austrian Grand Prix,2021,12.0,8.0,8.0,0
gasly,alphatauri,9,Austrian Grand Prix,2021,6.0,9.0,16.0,0
alonso,alpine,9,Austrian Grand Prix,2021,14.0,10.0,12.0,0
russell,williams,9,Austrian Grand Prix,2021,8.0,11.0,12.0,0
tsunoda,alphatauri,9,Austrian Grand Prix,2021,7.0,12.0,12.0,0
stroll,aston_martin,9,Austrian Grand Prix,2021,9.0,13.0,12.0,0
ocon,alpine,9,Austrian Grand Prix,2021,17.0,20.0,0.0,0
hamilton,mercedes,10,British Grand Prix,2021,2.0,1.0,5.0,0
leclerc,ferrari,10,British Grand Prix,2021,4.0,2.0,1.0,0
bottas,mercedes,10,British Grand Prix,2021,3.0,3.0,4.0,0
norris,mclaren,10,British Grand Prix,2021,5.0,4.0,5.0,0
ricciardo,mclaren,10,British Grand Prix,2021,6.0,5.0,4.0,0
sainz,ferrari,10,British Grand Prix,2021,10.0,6.0,7.0,0
alonso,alpine,10,British Grand Prix,2021,7.0,7.0,6.0,0
stroll,aston_martin,10,British Grand Prix,2021,14.0,8.0,6.0,0
ocon,alpine,10,British Grand Prix,2021,9.0,9.0,6.0,0
tsunoda,alphatauri,10,British Grand Prix,2021,16.0,10.0,11.0,0
gasly,alphatauri,10,British Grand Prix,2021,11.0,11.0,12.0,0
russell,williams,10,British Grand Prix,2021,12.0,12.0,8.0,0
perez,red_bull,10,British Grand Prix,2021,20.0,16.0,17.0,1
max_verstappen,red_bull,10,British Grand Prix,2021,1.0,20.0,0.0,0
ocon,alpine,11,Hungarian Grand Prix,2021,8.0,1.0,4.0,0
hamilton,mercedes,11,Hungarian Grand Prix,2021,1.0,2.0,12.0,0
sainz,ferrari,11,Hungarian Grand Prix,2021,15.0,3.0,6.0,0
alonso,alpine,11,Hungarian Grand Prix,2021,9.0,4.0,9.0,0
gasly,alphatauri,11,Hungarian Grand Prix,2021,5.0,5.0,12.0,1
tsunoda,alphatauri,11,Hungarian Grand Prix,2021,16.0,6.0,5.0,0
russell,williams,11,Hungarian Grand Prix,2021,17.0,8.0,4.0,0
max_verstappen,red_bull,11,Hungarian Grand Prix,2021,3.0,9.0,7.0,0
ricciardo,mclaren,11,Hungarian Grand Prix,2021,11.0,11.0,6.0,0
norris,mclaren,11,Hungarian Grand Prix,2021,6.0,15.0,1.0,0
bottas,mercedes,11,Hungarian Grand Prix,2021,2.0,16.0,0.0,0
perez,red_bull,11,Hungarian Grand Prix,2021,4.0,17.0,0.0,0
leclerc,ferrari,11,Hungarian Grand Prix,2021,7.0,18.0,0.0,0
stroll,aston_martin,11,Hungarian Grand Prix,2021,12.0,19.0,0.0,0
max_verstappen,red_bull,12,Belgian Grand Prix,2021,1.0,1.0,0.0,0
russell,williams,12,Belgian Grand Prix,2021,2.0,2.0,0.0,0
hamilton,mercedes,12,Belgian Grand Prix,2021,3.0,3.0,0.0,0
ricciardo,mclaren,12,Belgian Grand Prix,2021,4.0,4.0,0.0,0
gasly,alphatauri,12,Belgian Grand Prix,2021,6.0,6.0,0.0,0
ocon,alpine,12,Belgian Grand Prix,2021,8.0,7.0,0.0,0
leclerc,ferrari,12,Belgian Grand Prix,2021,9.0,8.0,0.0,0
sainz,ferrari,12,Belgian Grand Prix,2021,11.0,10.0,0.0,0
alonso,alpine,12,Belgian Grand Prix,2021,12.0,11.0,0.0,0
bottas,mercedes,12,Belgian Grand Prix,2021,13.0,12.0,0.0,0
norris,mclaren,12,Belgian Grand Prix,2021,15.0,14.0,0.0,0
tsunoda,alphatauri,12,Belgian Grand Prix,2021,16.0,15.0,0.0,0
perez,red_bull,12,Belgian Grand Prix,2021,20.0,19.0,0.0,0
stroll,aston_martin,12,Belgian Grand Prix,2021,19.0,20.0,0.0,0
max_verstappen,red_bull,13,Dutch Grand Prix,2021,1.0,1.0,1.0,0
hamilton,mercedes,13,Dutch Grand Prix,2021,2.0,2.0,1.0,1
bottas,mercedes,13,Dutch Grand Prix,2021,3.0,3.0,2.0,0
gasly,alphatauri,13,Dutch Grand Prix,2021,4.0,4.0,3.0,0
leclerc,ferrari,13,Dutch Grand Prix,2021,5.0,5.0,1.0,0
alonso,alpine,13,Dutch Grand Prix,2021,9.0,6.0,5.0,0
sainz,ferrari,13,Dutch Grand Prix,2021,6.0,7.0,2.0,0
perez,red_bull,13,Dutch Grand Prix,2021,20.0,8.0,15.0,0
ocon,alpine,13,Dutch Grand Prix,2021,8.0,9.0,2.0,0
norris,mclaren,13,Dutch Grand Prix,2021,13.0,10.0,7.0,0
ricciardo,mclaren,13,Dutch Grand Prix,2021,10.0,11.0,3.0,0
stroll,aston_martin,13,Dutch Grand Prix,2021,12.0,12.0,3.0,0
russell,williams,13,Dutch Grand Prix,2021,11.0,17.0,2.0,0
tsunoda,alphatauri,13,Dutch Grand Prix,2021,14.0,19.0,5.0,0
ricciardo,mclaren,14,Italian Grand Prix,2021,2.0,1.0,4.0,1
norris,mclaren,14,Italian Grand Prix,2021,3.0,2.0,5.0,0
bottas,mercedes,14,Italian Grand Prix,2021,19.0,3.0,13.0,0
leclerc,ferrari,14,Italian Grand Prix,2021,5.0,4.0,4.0,0
perez,red_bull,14,Italian Grand Prix,2021,8.0,5.0,7.0,0
sainz,ferrari,14,Italian Grand Prix,2021,6.0,6.0,4.0,0
stroll,aston_martin,14,Italian Grand Prix,2021,9.0,7.0,3.0,0
alonso,alpine,14,Italian Grand Prix,2021,10.0,8.0,2.0,0
russell,williams,14,Italian Grand Prix,2021,14.0,9.0,4.0,0
ocon,alpine,14,Italian Grand Prix,2021,12.0,10.0,4.0,0
hamilton,mercedes,14,Italian Grand Prix,2021,4.0,17.0,3.0,0
max_verstappen,red_bull,14,Italian Grand Prix,2021,1.0,18.0,3.0,0
gasly,alphatauri,14,Italian Grand Prix,2021,20.0,19.0,1.0,0
tsunoda,alphatauri,14,Italian Grand Prix,2021,20.0,20.0,0.0,0
hamilton,mercedes,15,Russian Grand Prix,2021,4.0,1.0,12.0,0
max_verstappen,red_bull,15,Russian Grand Prix,2021,20.0,2.0,18.0,0
sainz,ferrari,15,Russian Grand Prix,2021,2.0,3.0,9.0,0
ricciardo,mclaren,15,Russian Grand Prix,2021,5.0,4.0,14.0,0
bottas,mercedes,15,Russian Grand Prix,2021,16.0,5.0,15.0,0
alonso,alpine,15,Russian Grand Prix,2021,6.0,6.0,11.0,0
norris,mclaren,15,Russian Grand Prix,2021,1.0,7.0,5.0,1
perez,red_bull,15,Russian Grand Prix,2021,8.0,9.0,9.0,0
russell,williams,15,Russian Grand Prix,2021,3.0,10.0,9.0,0
stroll,aston_martin,15,Russian Grand Prix,2021,7.0,11.0,9.0,0
gasly,alphatauri,15,Russian Grand Prix,2021,11.0,13.0,13.0,0
ocon,alpine,15,Russian Grand Prix,2021,9.0,14.0,11.0,0
leclerc,ferrari,15,Russian Grand Prix,2021,19.0,15.0,13.0,0
tsunoda,alphatauri,15,Russian Grand Prix,2021,12.0,17.0,5.0,0
bottas,mercedes,16,Turkish Grand Prix,2021,1.0,1.0,1.0,1
max_verstappen,red_bull,16,Turkish Grand Prix,2021,2.0,2.0,1.0,0
perez,red_bull,16,Turkish Grand Prix,2021,6.0,3.0,3.0,0
leclerc,ferrari,16,Turkish Grand Prix,2021,3.0,4.0,2.0,0
hamilton,mercedes,16,Turkish Grand Prix,2021,11.0,5.0,7.0,0
gasly,alphatauri,16,Turkish Grand Prix,2021,4.0,6.0,1.0,0
norris,mclaren,16,Turkish Grand Prix,2021,7.0,7.0,2.0,0
sainz,ferrari,16,Turkish Grand Prix,2021,19.0,8.0,11.0,0
stroll,aston_martin,16,Turkish Grand Prix,2021,8.0,9.0,3.0,0
ocon,alpine,16,Turkish Grand Prix,2021,12.0,10.0,4.0,0
ricciardo,mclaren,16,Turkish Grand Prix,2021,20.0,13.0,8.0,0
tsunoda,alphatauri,16,Turkish Grand Prix,2021,9.0,14.0,1.0,0
russell,williams,16,Turkish Grand Prix,2021,13.0,15.0,1.0,0
alonso,alpine,16,Turkish Grand Prix,2021,5.0,16.0,4.0,0
max_verstappen,red_bull,17,United States Grand Prix,2021,1.0,1.0,3.0,0
hamilton,mercedes,17,United States Grand Prix,2021,2.0,2.0,1.0,1
perez,red_bull,17,United States Grand Prix,2021,3.0,3.0,2.0,0
leclerc,ferrari,17,United States Grand Prix,2021,4.0,4.0,2.0,0
ricciardo,mclaren,17,United States Grand Prix,2021,6.0,5.0,3.0,0
bottas,mercedes,17,United States Grand Prix,2021,9.0,6.0,8.0,0
sainz,ferrari,17,United States Grand Prix,2021,5.0,7.0,4.0,0
norris,mclaren,17,United States Grand Prix,2021,7.0,8.0,4.0,0
tsunoda,alphatauri,17,United States Grand Prix,2021,10.0,9.0,6.0,0
stroll,aston_martin,17,United States Grand Prix,2021,13.0,12.0,15.0,0
russell,williams,17,United States Grand Prix,2021,20.0,14.0,7.0,0
alonso,alpine,17,United States Grand Prix,2021,19.0,18.0,13.0,0
ocon,alpine,17,United States Grand Prix,2021,11.0,19.0,4.0,0
gasly,alphatauri,17,United States Grand Prix,2021,8.0,20.0,3.0,0
max_verstappen,red_bull,18,Mexico City Grand Prix,2021,3.0,1.0,1.0,0
hamilton,mercedes,18,Mexico City Grand Prix,2021,2.0,2.0,3.0,0
perez,red_bull,18,Mexico City Grand Prix,2021,4.0,3.0,3.0,0
gasly,alphatauri,18,Mexico City Grand Prix,2021,5.0,4.0,4.0,0
leclerc,ferrari,18,Mexico City Grand Prix,2021,8.0,5.0,6.0,0
sainz,ferrari,18,Mexico City Grand Prix,2021,6.0,6.0,5.0,0
alonso,alpine,18,Mexico City Grand Prix,2021,12.0,9.0,8.0,0
norris,mclaren,18,Mexico City Grand Prix,2021,18.0,10.0,9.0,0
ricciardo,mclaren,18,Mexico City Grand Prix,2021,7.0,12.0,8.0,0
ocon,alpine,18,Mexico City Grand Prix,2021,19.0,13.0,6.0,0
stroll,aston_martin,18,Mexico City Grand Prix,2021,20.0,14.0,6.0,0
bottas,mercedes,18,Mexico City Grand Prix,2021,1.0,15.0,11.0,1
russell,williams,18,Mexico City Grand Prix,2021,16.0,16.0,3.0,0
tsunoda,alphatauri,18,Mexico City Grand Prix,2021,17.0,20.0,0.0,0
hamilton,mercedes,19,São Paulo Grand Prix,2021,10.0,1.0,8.0,0
max_verstappen,red_bull,19,São Paulo Grand Prix,2021,2.0,2.0,5.0,0
bottas,mercedes,19,São Paulo Grand Prix,2021,1.0,3.0,4.0,0
perez,red_bull,19,São Paulo Grand Prix,2021,4.0,4.0,5.0,1
leclerc,ferrari,19,São Paulo Grand Prix,2021,6.0,5.0,6.0,0
sainz,ferrari,19,São Paulo Grand Prix,2021,3.0,6.0,5.0,0
gasly,alphatauri,19,São Paulo Grand Prix,2021,7.0,7.0,8.0,0
ocon,alpine,19,São Paulo Grand Prix,2021,8.0,8.0,9.0,0
alonso,alpine,19,São Paulo Grand Prix,2021,12.0,9.0,11.0,0
norris,mclaren,19,São Paulo Grand Prix,2021,5.0,10.0,16.0,0
russell,williams,19,São Paulo Grand Prix,2021,17.0,13.0,15.0,0
tsunoda,alphatauri,19,São Paulo Grand Prix,2021,15.0,15.0,13.0,0
ricciardo,mclaren,19,São Paulo Grand Prix,2021,11.0,19.0,6.0,0
stroll,aston_martin,19,São Paulo Grand Prix,2021,14.0,20.0,7.0,0
hamilton,mercedes,20,Qatar Grand Prix,2021,1.0,1.0,0.0,0
max_verstappen,red_bull,20,Qatar Grand Prix,2021,7.0,2.0,2.0,1
alonso,alpine,20,Qatar Grand Prix,2021,3.0,3.0,4.0,0
perez,red_bull,20,Qatar Grand Prix,2021,11.0,4.0,14.0,0
ocon,alpine,20,Qatar Grand Prix,2021,9.0,5.0,10.0,0
stroll,aston_martin,20,Qatar Grand Prix,2021,12.0,6.0,10.0,0
sainz,ferrari,20,Qatar Grand Prix,2021,5.0,7.0,8.0,0
leclerc,ferrari,20,Qatar Grand Prix,2021,13.0,8.0,12.0,0
norris,mclaren,20,Qatar Grand Prix,2021,4.0,9.0,9.0,0
gasly,alphatauri,20,Qatar Grand Prix,2021,2.0,11.0,10.0,0
ricciardo,mclaren,20,Qatar Grand Prix,2021,14.0,12.0,12.0,0
tsunoda,alphatauri,20,Qatar Grand Prix,2021,8.0,13.0,12.0,0
russell,williams,20,Qatar Grand Prix,2021,15.0,17.0,12.0,0
bottas,mercedes,20,Qatar Grand Prix,2021,6.0,20.0,9.0,0
hamilton,mercedes,21,Saudi Arabian Grand Prix,2021,1.0,1.0,3.0,1
max_verstappen,red_bull,21,Saudi Arabian Grand Prix,2021,3.0,2.0,3.0,0
bottas,mercedes,21,Saudi Arabian Grand Prix,2021,2.0,3.0,3.0,0
ocon,alpine,21,Saudi Arabian Grand Prix,2021,9.0,4.0,4.0,0
ricciardo,mclaren,21,Saudi Arabian Grand Prix,2021,11.0,5.0,4.0,0
gasly,alphatauri,21,Saudi Arabian Grand Prix,2021,6.0,6.0,2.0,0
leclerc,ferrari,21,Saudi Arabian Grand Prix,2021,4.0,7.0,3.0,0
sainz,ferrari,21,Saudi Arabian Grand Prix,2021,15.0,8.0,7.0,0
norris,mclaren,21,Saudi Arabian Grand Prix,2021,7.0,10.0,5.0,0
stroll,aston_martin,21,Saudi Arabian Grand Prix,2021,18.0,11.0,5.0,0
alonso,alpine,21,Saudi Arabian Grand Prix,2021,13.0,13.0,5.0,0
tsunoda,alphatauri,21,Saudi Arabian Grand Prix,2021,8.0,14.0,6.0,0
perez,red_bull,21,Saudi Arabian Grand Prix,2021,5.0,17.0,0.0,0
russell,williams,21,Saudi Arabian Grand Prix,2021,14.0,19.0,2.0,0
max_verstappen,red_bull,22,Abu Dhabi Grand Prix,2021,1.0,1.0,3.0,1
hamilton,mercedes,22,Abu Dhabi Grand Prix,2021,2.0,2.0,1.0,0
sainz,ferrari,22,Abu Dhabi Grand Prix,2021,5.0,3.0,5.0,0
tsunoda,alphatauri,22,Abu Dhabi Grand Prix,2021,8.0,4.0,11.0,0
gasly,alphatauri,22,Abu Dhabi Grand Prix,2021,12.0,5.0,10.0,0
bottas,mercedes,22,Abu Dhabi Grand Prix,2021,6.0,6.0,9.0,0
norris,mclaren,22,Abu Dhabi Grand Prix,2021,3.0,7.0,9.0,0
alonso,alpine,22,Abu Dhabi Grand Prix,2021,11.0,8.0,7.0,0
ocon,alpine,22,Abu Dhabi Grand Prix,2021,9.0,9.0,7.0,0
leclerc,ferrari,22,Abu Dhabi Grand Prix,2021,7.0,10.0,9.0,0
ricciardo,mclaren,22,Abu Dhabi Grand Prix,2021,10.0,12.0,7.0,0
stroll,aston_martin,22,Abu Dhabi Grand Prix,2021,13.0,13.0,7.0,0
perez,red_bull,22,Abu Dhabi Grand Prix,2021,4.0,15.0,4.0,0
russell,williams,22,Abu Dhabi Grand Prix,2021,17.0,18.0,5.0,0
